
1550820848.159:  AA AA 04 80 02 02 2C 4F
1550820848.159:  AA AA 04 80 02 02 51 2A
1550820848.159:  AA AA 04 80 02 02 17 64
1550820848.159:  AA AA 04 80 02 01 E5 97
1550820848.159:  AA AA 04 80 02 01 BC C0
1550820848.159:  AA AA 04 80 02 01 4A 32
1550820848.159:  AA AA 04 80 02 00 B4 C9
1550820848.159:  AA AA 04 80 02 00 54 29
1550820848.159:  AA AA 04 80 02 FF FF 7F
1550820848.159:  AA AA 04 80 02 FF 72 0C
1550820848.159:  AA AA 04 80 02 FE C4 BB
1550820848.159:  AA AA 04 80 02 FE 1E 61
1550820848.159:  AA AA 04 80 02 FD 9F E1
1550820848.159:  AA AA 04 80 02 FD 93 ED
1550820848.159:  AA AA 04 80 02 FD B5 CB
1550820848.159:  AA AA 04 80 02 FD 62 1E
1550820848.159:  AA AA 04 80 02 FC E2 9F
1550820848.159:  AA AA 04 80 02 FC BA C7
1550820848.159:  AA AA 04 80 02 FC EB 96
1550820848.165:  AA AA 04 80 02 FD 44 3C
1550820848.165:  AA AA 04 80 02 FD 5A 26
1550820848.165:  AA AA 04 80 02 FC EB 96
1550820848.165:  AA AA 04 80 02 FC 69 18
1550820848.165:  AA AA 04 80 02 FC 1A 67
1550820848.165:  AA AA 04 80 02 FB DD A5
1550820848.165:  AA AA 04 80 02 FB 8E F4
1550820848.165:  AA AA 04 80 02 FB 35 4D
1550820848.165:  AA AA 04 80 02 FA E3 A0
1550820848.165:  AA AA 04 80 02 FA B8 CB
1550820848.165:  AA AA 04 80 02 FA 9E E5
1550820848.165:  AA AA 04 80 02 FA 7A 09
1550820848.165:  AA AA 04 80 02 FA 4A 39
1550820848.165:  AA AA 04 80 02 FA 2A 59
1550820848.165:  AA AA 04 80 02 FA 3E 45
1550820848.165:  AA AA 04 80 02 FA 76 0D
1550820848.165:  AA AA 04 80 02 FA CF B4
1550820848.165:  AA AA 04 80 02 FB 37 4B
1550820848.165:  AA AA 04 80 02 FB DD A5
1550820848.165:  AA AA 04 80 02 FC DD A4
1550820848.165:  AA AA 04 80 02 FD BB C5
1550820848.165:  AA AA 04 80 02 FE 8D F2
1550820848.165:  AA AA 04 80 02 FF 4D 31
1550820848.165:  AA AA 04 80 02 FF EA 94
1550820848.165:  AA AA 04 80 02 00 6B 12
1550820848.165:  AA AA 04 80 02 00 FD 80
1550820848.165:  AA AA 04 80 02 01 AD CF
1550820848.165:  AA AA 04 80 02 02 62 19
1550820848.165:  AA AA 04 80 02 02 D1 AA
1550820848.165:  AA AA 04 80 02 02 F4 87
1550820848.165:  AA AA 04 80 02 02 AC CF
1550820848.165:  AA AA 04 80 02 02 46 35
1550820848.165:  AA AA 04 80 02 02 04 77
1550820848.165:  AA AA 04 80 02 01 B2 CA
1550820848.165:  AA AA 04 80 02 01 6C 10
1550820848.165:  AA AA 04 80 02 01 52 2A
1550820848.165:  AA AA 04 80 02 01 85 F7
1550820848.165:  AA AA 04 80 02 01 C6 B6
1550820848.165:  AA AA 04 80 02 01 43 39
1550820848.165:  AA AA 04 80 02 00 50 2D
1550820848.165:  AA AA 04 80 02 00 01 7C
1550820848.165:  AA AA 04 80 02 00 AD D0
1550820848.165:  AA AA 04 80 02 01 B1 CB
1550820848.165:  AA AA 04 80 02 02 BA C1
1550820848.165:  AA AA 04 80 02 04 27 52
1550820848.165:  AA AA 04 80 02 05 B4 C4
1550820848.165:  AA AA 04 80 02 06 9C DB
1550820848.165:  AA AA 04 80 02 06 B1 C6
1550820848.165:  AA AA 04 80 02 06 A8 CF
1550820848.165:  AA AA 04 80 02 06 F5 82
1550820848.165:  AA AA 04 80 02 07 38 3E
1550820848.165:  AA AA 04 80 02 07 0C 6A
1550820848.165:  AA AA 04 80 02 06 95 E2
1550820848.165:  AA AA 04 80 02 06 2B 4C
1550820848.165:  AA AA 04 80 02 05 E5 93
1550820848.165:  AA AA 04 80 02 05 94 E4
1550820848.165:  AA AA 04 80 02 05 48 30
1550820848.165:  AA AA 04 80 02 05 06 72
1550820848.165:  AA AA 04 80 02 04 E0 99
1550820848.165:  AA AA 04 80 02 04 C5 B4
1550820848.165:  AA AA 04 80 02 04 92 E7
